Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET
2019-3-17,Faria Lima,-23.5675,-46.6929,53130,25,19,31,3,21,30,2,35,NORMAL
2018-5-21,Pinheiros,-23.5664,-46703,77146,86,6,16,23,24,27,30,20,REABASTECER
2019-10-5,Faria Lima,-23.5675,-46.6929,54136,34,38,12,26,38,28,16,41,NORMAL
2019-10-30,Faria Lima,-23.5675,-46.6929,54694,77,3,40,33,23,6,43,24,REABASTECER
2019-7-7,Pinheiros,-23.5664,-46703,79190,66,55,46,5,6,7,13,13,REABASTECER
2018-4-28,São Judas,-23.6255,-46.6411,16887,86,33,65,23,5,31,15,19,NORMAL
2018-6-10,São Judas,-23.6255,-46.6411,16757,23,18,23,20,7,39,37,20,NORMAL
2018-9-22,Pinheiros,-23.5664,-46703,79062,29,35,12,43,29,37,32,37,NORMAL
2018-7-30,São Judas,-23.6255,-46.6411,15321,49,37,8,31,25,11,21,43,NORMAL
2018-8-25,Butantã,-23.5844,-46.7252,66053,6,25,12,43,11,19,19,5,NORMAL
2019-7-4,São Judas,-23.6255,-46.6411,13726,86,26,22,6,20,23,14,8,REABASTECER
2018-10-3,Butantã,-23.5844,-46.7252,66057,61,14,22,9,38,38,27,30,NORMAL
2019-9-28,Pinheiros,-23.5664,-46703,78556,6,65,5,21,15,32,38,38,REABASTECER
2019-8-8,São Judas,-23.6255,-46.6411,16722,14,29,65,23,11,6,8,9,NORMAL
2019-12-20,Pinheiros,-23.5664,-46703,76256,9,27,26,29,13,6,7,19,REABASTECER
2018-3-25,Vila Mariana,-23.5895,-46.6346,24763,58,15,4,40,17,28,19,8,REABASTECER
2018-6-19,Butantã,-23.5844,-46.7252,66001,6,13,48,9,22,9,3,5,REABASTECER
2018-1-16,Fradique Coutinho,-23.5661,-46.6841,36904,35,33,21,43,23,29,20,29,NORMAL
2018-4-18,Fradique Coutinho,-23.5661,-46.6841,36282,65,44,43,42,39,19,43,43,NORMAL
2019-3-29,Vila Mariana,-23.5895,-46.6346,22906,69,23,10,12,24,25,24,14,NORMAL
2019-1-7,Fradique Coutinho,-23.5661,-46.6841,34300,48,32,17,21,30,11,43,31,NORMAL
2018-2-18,Fradique Coutinho,-23.5661,-46.6841,35214,62,34,65,21,25,38,25,37,NORMAL
2019-9-8,Fradique Coutinho,-23.5661,-46.6841,35609,4,49,32,34,26,14,19,19,REABASTECER
2018-9-3,Brooklin,-23.6263,-46.6878,26350,77,60,27,16,30,26,11,28,NORMAL
2019-1-6,Brooklin,-23.6263,-46.6878,27642,5,29,24,27,11,42,29,31,NORMAL
2019-2-20,Fradique Coutinho,-23.5661,-46.6841,35499,31,50,38,14,27,7,41,23,NORMAL
2018-7-24,Luz,-23.5365,-46.6332,124680,68,37,6,19,36,31,11,32,REABASTECER
2019-6-28,Fradique Coutinho,-23.5661,-46.6841,33784,73,36,46,16,36,4,31,13,REABASTECER
2019-4-13,Luz,-23.5365,-46.6332,125065,30,58,14,13,43,11,33,25,NORMAL
2018-2-12,Campo Belo,-23.6188,-46.6823,26356,22,42,65,3,19,17,43,11,NORMAL
2019-4-16,Luz,-23.5365,-46.6332,126778,86,40,65,1,29,38,24,13,REABASTECER
