Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,Status
2018-1-1,Paraíso,-21.0163,-48.7739,70277,86,65,65,43,43,43,43,43,NORMAL
2018-1-2,Paraíso,-21.0163,-48.7739,73302,73,58,58,38,37,42,41,39,NORMAL
2018-1-3,Paraíso,-21.0163,-48.7739,71711,64,50,50,33,34,42,39,35,NORMAL
2018-1-4,Paraíso,-21.0163,-48.7739,71740,52,48,42,27,29,36,37,32,NORMAL
2018-1-5,Paraíso,-21.0163,-48.7739,71035,41,40,32,21,23,36,34,26,NORMAL
2018-1-6,Paraíso,-21.0163,-48.7739,73062,31,35,26,20,18,35,30,23,NORMAL
2018-1-7,Paraíso,-21.0163,-48.7739,72219,24,29,19,14,16,30,26,20,NORMAL
2018-1-8,Paraíso,-21.0163,-48.7739,73471,14,23,10,13,14,27,24,14,NORMAL
2018-1-9,Paraíso,-21.0163,-48.7739,71745,3,21,4,8,8,23,19,8,REABASTECER
2018-1-10,Paraíso,-21.0163,-48.7739,71195,86,16,65,3,5,21,13,3,NORMAL
2018-1-11,Paraíso,-21.0163,-48.7739,71146,75,11,56,43,43,20,11,43,NORMAL
2018-1-12,Paraíso,-21.0163,-48.7739,73336,62,5,49,40,39,16,5,40,REABASTECER
2018-1-13,Paraíso,-21.0163,-48.7739,72649,54,65,42,35,34,14,43,37,NORMAL
2018-1-14,Paraíso,-21.0163,-48.7739,73132,46,62,33,30,30,11,40,34,NORMAL
2018-1-15,Paraíso,-21.0163,-48.7739,71712,37,56,27,27,24,9,38,32,NORMAL
2018-1-16,Paraíso,-21.0163,-48.7739,71704,30,47,22,23,18,7,32,29,NORMAL
2018-1-17,Paraíso,-21.0163,-48.7739,71466,19,43,13,23,14,5,27,24,REABASTECER
2018-1-18,Paraíso,-21.0163,-48.7739,74017,7,41,8,21,11,43,25,19,REABASTECER
2018-1-19,Paraíso,-21.0163,-48.7739,73271,86,39,65,16,5,43,23,14,REABASTECER
2018-1-20,Paraíso,-21.0163,-48.7739,72563,76,36,60,12,43,40,17,12,NORMAL
2018-1-21,Paraíso,-21.0163,-48.7739,73022,67,27,56,6,39,40,13,10,REABASTECER
2018-1-22,Paraíso,-21.0163,-48.7739,70165,54,19,48,43,36,35,11,4,NORMAL
2018-1-23,Paraíso,-21.0163,-48.7739,72116,46,14,44,41,33,30,8,43,NORMAL
2018-1-24,Paraíso,-21.0163,-48.7739,70450,38,10,37,36,29,29,2,40,REABASTECER
2018-1-25,Paraíso,-21.0163,-48.7739,71449,28,1,33,32,23,29,43,34,REABASTECER
2018-1-26,Paraíso,-21.0163,-48.7739,70869,18,65,27,26,18,28,41,31,NORMAL
2018-1-27,Paraíso,-21.0163,-48.7739,70455,8,62,17,25,15,23,37,29,REABASTECER
2018-1-28,Paraíso,-21.0163,-48.7739,71690,86,53,10,21,9,20,34,25,NORMAL
2018-1-29,Paraíso,-21.0163,-48.7739,73188,73,49,1,19,7,18,28,20,NORMAL
2018-1-30,Paraíso,-21.0163,-48.7739,72120,63,42,65,16,1,17,25,18,REABASTECER
2018-2-1,Paraíso,-21.0163,-48.7739,71698,53,33,57,12,43,13,21,16,NORMAL
